id	kind	path_or_pattern	source_ref	snapshot_identity	content_identity	status	migration_role	limitations
EXT-SESSIONS	input-metadata	/data/ABCD_DSST/ABCD/imaging_data/fast_track/sessions.tsv	external-controlled	unknown	unknown	missing-from-repository	Age, sex, site, subject, and session metadata	No checksum or version
EXT-FASTAGES	input-metadata	/data/ABCD_DSST/ABCD/imaging_data/fast_track/code/abcd_fastqc01_history/2024-05-01/abcd_fastqc01_ages_innerjoin_sessions_without_age.tsv	external-controlled	unknown	unknown	missing-from-repository	Supplementary ages	Date in path but content identity absent
EXT-LIFESPAN	input-data	data/lifespan_supplements/Table2_Milestones/Table_2_2.csv	external	unknown	unknown	missing-from-repository	Regional milestone comparison	Origin and checksum absent
EXT-TEMPLATEFLOW	input-data	templateflow/tpl-fsaverage/**	external-cache	unknown	unknown	missing-from-repository	Surface meshes, labels, LUTs, and sulcal maps	Exact TemplateFlow artifacts and hashes absent
RESULT-FS-TREES	derivative	data/derivatives/freesurfer/<pipeline>/<subject>/<session>/fs_out/<subject>/**	external-generated	unknown	unknown	missing-from-repository	FreeSurfer and recon-any payloads	No dataset commit, hashes, complete pipeline list, runtime identity, or acceptance record
RESULT-STATS-GLOBAL	derivative	data/derivatives/leej3/fs_stats_multi/<pipeline>/BrainConfounds.tsv	external-generated	unknown	unknown	missing-from-repository	Extracted global metrics	Up to nine pipeline files; no retained identities
RESULT-STATS-REGIONAL	derivative	data/derivatives/leej3/fs_stats_multi/<pipeline>/atlas-<atlas>_<metric>.tsv	external-generated	unknown	unknown	missing-from-repository	Regional aparc metrics	Up to 162 files; no retained identities
RESULT-STATS-CACHE	cache	data/derivatives/leej3/fs_stats_multi/stats_dir_cache_<path-md5>.pkl	external-generated	unknown	unknown	missing-from-repository	Session-discovery cache	Digest covers path strings rather than input content; never authoritative
RESULT-FEATHER	derived-table	data/derivatives/fs_stats/var-age_atlas-Desikan2006.feather	external-generated	unknown	unknown	missing-from-repository	Regionwise age-effect table	Different output root; no retained identity
RESULT-FIG-REG	figure	output/images/regression_table_{RAC_stats,RANY_stats}.{png,pdf}	external-generated	unknown	unknown	missing-from-repository	Named regression-table figures	Files and hashes absent
RESULT-FIG-CORR	figure	output/images/correlation_summaries_{RAC,RANY}.{png,pdf}	external-generated	unknown	unknown	missing-from-repository	Named comparison figures	Files and hashes absent
RESULT-FIG-SURFACE	figure	output/images/surface_age_beta_{RAC_T1,RANY_T1}.{png,pdf}	external-generated	unknown	unknown	missing-from-repository	Named surface-age figures	Files and hashes absent
RESULT-IN-MEMORY	result-family	global_resses;rgn_resses;fix_resses;siteresses;mdl_resses;model_summaries	notebook-memory	unknown	unknown	not-materialized	Model tables, coefficients, tests, and performance statistics	Claim-relevant values exist only as code paths; outputs stripped
RESULT-UNSAVED-FIGURES	figure-family	Figure 2 global-volume and regionwise-age panels plus exploratory figures	notebook-memory	unknown	unknown	not-materialized	Additional claim-oriented figures	Created in memory without stable output paths
RESULT-SWARM-COMMANDS	provenance	swarm/swarm_commands/**	external-generated	unknown	unknown	missing-from-repository	Generated execution commands	Not retained
RESULT-SWARM-LOGS	provenance	swarm/swarm_logs/**	external-generated	unknown	unknown	missing-from-repository	Scheduler logs, job IDs, and failure evidence	Absent; notebooks retain only scattered IDs and manual failed-subject list
RESULT-POSTER	reference	docs/reference/recon_all_recon_any_poster_ohbm2025.pdf	OSF:10.17605/OSF.IO/P3KNS	OSF-file:mn47a;version:1	sha256:9031199b6da81817e157bb3e762cedf349a844444a707cbb6ff97a4acba901f6	present-annexed-and-web-retrievable	Historical claim-bearing reference	OSF node has no explicit node licence; no recorded lineage connects the poster to source, data, runtime, or generated files
