subject_id	parent_id	subject_kind	requirement_id	level	decision	status	evidence	limitation
doc-conversion-plan	ro-root	plan	T.1	MUST	adopt	met	git:containing-commit:docs/conversion-plan.md	The containing Git commit or recorded earlier commit and path provide content identity
doc-conversion-plan	ro-root	plan	T.2	SHOULD	adopt	met	.gitattributes;docs/conversion-plan.md	Stored directly in the root Git/DataLad dataset
doc-conversion-plan	ro-root	plan	T.3	MUST	adopt	met	git:containing-commit:docs/conversion-plan.md	The containing Git commit or recorded earlier commit records this modification
doc-conversion-plan	ro-root	plan	M.1	SHOULD	adopt	partial	docs/conversion-plan.md	A stable tracked boundary exists but is stored directly in the root dataset
doc-conversion-plan	ro-root	plan	M.3	SHOULD	adopt	unmet	config/components.tsv#license_status	Independent licence declaration and compatibility decision are missing
doc-conversion-plan	ro-root	plan	D.1	MUST	adopt	met	https://github.com/con/STAMPED-dl_morphometrics_biases;git:containing-commit:docs/conversion-plan.md	The exact containing or earlier commit is published with the public root repository
doc-conversion-plan	ro-root	plan	D.3	SHOULD	adopt	unmet	config/components.tsv#license_status	No resolvable project licence identifier is recorded
doc-conversion-plan	ro-root	plan	T.4-programmatic	SHOULD	decline	not-applicable	docs/conversion-plan.md	The policy specifies future operations but does not itself perform a code-driven modification
doc-conversion-plan	ro-root	plan	T.4-versions	MUST	adopt	not-applicable	docs/conversion-plan.md	The policy is not itself a code-driven execution
doc-conversion-plan	ro-root	plan	A.1	MUST	adopt	partial	docs/conversion-plan.md	Procedure boundaries are described but result-specific commands and inputs remain unresolved
doc-conversion-plan	ro-root	plan	A.2	SHOULD	adopt	partial	docs/conversion-plan.md	Some tasks and interfaces are prescribed but scientific leaf operations do not yet exist
doc-conversion-plan	ro-root	plan	P.1	MUST	adopt	partial	docs/conversion-plan.md	Isolation policy is explicit but has not been proved in a scientific run
doc-conversion-plan	ro-root	plan	P.2	MUST	adopt	partial	docs/conversion-plan.md	Environment policy is explicit but scientific runtimes remain unresolved
doc-conversion-plan	ro-root	plan	P.3	MUST	adopt	partial	docs/conversion-plan.md	Version-control policy exists but producing environment definitions are incomplete
doc-conversion-plan	ro-root	plan	E.1	SHOULD	adopt	unmet	docs/conversion-plan.md	Disposable scientific execution is required but unproved
doc-conversion-plan	ro-root	plan	D.2	SHOULD	adopt	partial	docs/conversion-plan.md	Reproducible-build policy exists but scientific builds are unresolved
skill-stamped	ro-root	skill	S.1	MUST	adopt	met	skills/stamped-neuroimaging-analysis/SKILL.md	Tracked path is directly reachable from the research-object root
skill-stamped	ro-root	skill	S.2	MUST	adopt	unmet	config/components.tsv#license_status	No governing project licence declaration is retrievable
skill-stamped	ro-root	skill	T.1	MUST	adopt	met	git:dc2b848876de31e42a895de53ef8185bb5bb24a1:skills/stamped-neuroimaging-analysis/SKILL.md	The containing Git commit or recorded earlier commit and path provide content identity
skill-stamped	ro-root	skill	T.2	SHOULD	adopt	met	.gitattributes;skills/stamped-neuroimaging-analysis/SKILL.md	Stored directly in the root Git/DataLad dataset
skill-stamped	ro-root	skill	T.3	MUST	adopt	met	git:dc2b848876de31e42a895de53ef8185bb5bb24a1:skills/stamped-neuroimaging-analysis/SKILL.md	The containing Git commit or recorded earlier commit records this modification
skill-stamped	ro-root	skill	M.1	SHOULD	adopt	partial	skills/stamped-neuroimaging-analysis/SKILL.md	A stable tracked boundary exists but is stored directly in the root dataset
skill-stamped	ro-root	skill	M.3	SHOULD	adopt	unmet	config/components.tsv#license_status	Independent licence declaration and compatibility decision are missing
skill-stamped	ro-root	skill	D.1	MUST	adopt	met	https://github.com/con/STAMPED-dl_morphometrics_biases;git:dc2b848876de31e42a895de53ef8185bb5bb24a1:skills/stamped-neuroimaging-analysis/SKILL.md	The exact containing or earlier commit is published with the public root repository
skill-stamped	ro-root	skill	D.3	SHOULD	adopt	unmet	config/components.tsv#license_status	No resolvable project licence identifier is recorded
skill-stamped	ro-root	skill	T.4-programmatic	SHOULD	decline	not-applicable	skills/stamped-neuroimaging-analysis/SKILL.md	The policy specifies future operations but does not itself perform a code-driven modification
skill-stamped	ro-root	skill	T.4-versions	MUST	adopt	not-applicable	skills/stamped-neuroimaging-analysis/SKILL.md	The policy is not itself a code-driven execution
skill-stamped	ro-root	skill	A.1	MUST	adopt	partial	skills/stamped-neuroimaging-analysis/SKILL.md	Procedure boundaries are described but result-specific commands and inputs remain unresolved
skill-stamped	ro-root	skill	A.2	SHOULD	adopt	partial	skills/stamped-neuroimaging-analysis/SKILL.md	Some tasks and interfaces are prescribed but scientific leaf operations do not yet exist
skill-stamped	ro-root	skill	P.1	MUST	adopt	partial	skills/stamped-neuroimaging-analysis/SKILL.md	Isolation policy is explicit but has not been proved in a scientific run
skill-stamped	ro-root	skill	P.2	MUST	adopt	partial	skills/stamped-neuroimaging-analysis/SKILL.md	Environment policy is explicit but scientific runtimes remain unresolved
skill-stamped	ro-root	skill	P.3	MUST	adopt	partial	skills/stamped-neuroimaging-analysis/SKILL.md	Version-control policy exists but producing environment definitions are incomplete
skill-stamped	ro-root	skill	E.1	SHOULD	adopt	unmet	skills/stamped-neuroimaging-analysis/SKILL.md	Disposable scientific execution is required but unproved
skill-stamped	ro-root	skill	D.2	SHOULD	adopt	partial	skills/stamped-neuroimaging-analysis/SKILL.md	Reproducible-build policy exists but scientific builds are unresolved
skill-bids-builder	ro-root	skill	S.1	MUST	adopt	met	skills/bids-app-builder/SKILL.md	Tracked path is directly reachable from the research-object root
skill-bids-builder	ro-root	skill	S.2	MUST	adopt	unmet	config/components.tsv#license_status	No governing project licence declaration is retrievable
skill-bids-builder	ro-root	skill	T.1	MUST	adopt	met	git:dc2b848876de31e42a895de53ef8185bb5bb24a1:skills/bids-app-builder/SKILL.md	The containing Git commit or recorded earlier commit and path provide content identity
skill-bids-builder	ro-root	skill	T.2	SHOULD	adopt	met	.gitattributes;skills/bids-app-builder/SKILL.md	Stored directly in the root Git/DataLad dataset
skill-bids-builder	ro-root	skill	T.3	MUST	adopt	met	git:dc2b848876de31e42a895de53ef8185bb5bb24a1:skills/bids-app-builder/SKILL.md	The containing Git commit or recorded earlier commit records this modification
skill-bids-builder	ro-root	skill	M.1	SHOULD	adopt	partial	skills/bids-app-builder/SKILL.md	A stable tracked boundary exists but is stored directly in the root dataset
skill-bids-builder	ro-root	skill	M.3	SHOULD	adopt	unmet	config/components.tsv#license_status	Independent licence declaration and compatibility decision are missing
skill-bids-builder	ro-root	skill	D.1	MUST	adopt	met	https://github.com/con/STAMPED-dl_morphometrics_biases;git:dc2b848876de31e42a895de53ef8185bb5bb24a1:skills/bids-app-builder/SKILL.md	The exact containing or earlier commit is published with the public root repository
skill-bids-builder	ro-root	skill	D.3	SHOULD	adopt	unmet	config/components.tsv#license_status	No resolvable project licence identifier is recorded
skill-bids-builder	ro-root	skill	T.4-programmatic	SHOULD	decline	not-applicable	skills/bids-app-builder/SKILL.md	The policy specifies future operations but does not itself perform a code-driven modification
skill-bids-builder	ro-root	skill	T.4-versions	MUST	adopt	not-applicable	skills/bids-app-builder/SKILL.md	The policy is not itself a code-driven execution
skill-bids-builder	ro-root	skill	A.1	MUST	adopt	partial	skills/bids-app-builder/SKILL.md	Procedure boundaries are described but result-specific commands and inputs remain unresolved
skill-bids-builder	ro-root	skill	A.2	SHOULD	adopt	partial	skills/bids-app-builder/SKILL.md	Some tasks and interfaces are prescribed but scientific leaf operations do not yet exist
skill-bids-builder	ro-root	skill	P.1	MUST	adopt	partial	skills/bids-app-builder/SKILL.md	Isolation policy is explicit but has not been proved in a scientific run
skill-bids-builder	ro-root	skill	P.2	MUST	adopt	partial	skills/bids-app-builder/SKILL.md	Environment policy is explicit but scientific runtimes remain unresolved
skill-bids-builder	ro-root	skill	P.3	MUST	adopt	partial	skills/bids-app-builder/SKILL.md	Version-control policy exists but producing environment definitions are incomplete
skill-bids-builder	ro-root	skill	E.1	SHOULD	adopt	unmet	skills/bids-app-builder/SKILL.md	Disposable scientific execution is required but unproved
skill-bids-builder	ro-root	skill	D.2	SHOULD	adopt	partial	skills/bids-app-builder/SKILL.md	Reproducible-build policy exists but scientific builds are unresolved
env-pixi-manifest	ro-root	environment-definition	S.1	MUST	adopt	met	envs/pixi.toml	Tracked path is directly reachable from the research-object root
env-pixi-manifest	ro-root	environment-definition	S.2	MUST	adopt	unmet	config/components.tsv#license_status	No governing project licence declaration is retrievable
env-pixi-manifest	ro-root	environment-definition	T.1	MUST	adopt	met	git:containing-commit:envs/pixi.toml	The containing Git commit or recorded earlier commit and path provide content identity
env-pixi-manifest	ro-root	environment-definition	T.2	SHOULD	adopt	met	.gitattributes;envs/pixi.toml	Stored directly in the root Git/DataLad dataset
env-pixi-manifest	ro-root	environment-definition	T.3	MUST	adopt	met	git:containing-commit:envs/pixi.toml	The containing Git commit or recorded earlier commit records this modification
env-pixi-manifest	ro-root	environment-definition	M.1	SHOULD	adopt	partial	envs/pixi.toml	A stable tracked boundary exists but is stored directly in the root dataset
env-pixi-manifest	ro-root	environment-definition	M.3	SHOULD	adopt	unmet	config/components.tsv#license_status	Independent licence declaration and compatibility decision are missing
env-pixi-manifest	ro-root	environment-definition	D.1	MUST	adopt	met	https://github.com/con/STAMPED-dl_morphometrics_biases;git:containing-commit:envs/pixi.toml	The exact containing or earlier commit is published with the public root repository
env-pixi-manifest	ro-root	environment-definition	D.3	SHOULD	adopt	unmet	config/components.tsv#license_status	No resolvable project licence identifier is recorded
env-pixi-manifest	ro-root	environment-definition	T.4-programmatic	SHOULD	decline	not-applicable	envs/pixi.toml	This static component does not perform code-driven modifications or emit provenance records
env-pixi-manifest	ro-root	environment-definition	T.4-versions	MUST	adopt	not-applicable	envs/pixi.toml	This component is not a code-driven execution whose involved versions must be reported
env-pixi-manifest	ro-root	environment-definition	A.1	MUST	adopt	not-applicable	envs/pixi.toml	This component is not a procedure for reproducing a computational result
env-pixi-manifest	ro-root	environment-definition	A.2	SHOULD	adopt	met	envs/pixi.toml	Named tooling tasks are executable specifications
env-pixi-manifest	ro-root	environment-definition	P.1	MUST	adopt	not-applicable	envs/pixi.toml	This static component does not execute against host state
env-pixi-manifest	ro-root	environment-definition	P.2	MUST	adopt	met	envs/pixi.toml;envs/pixi.lock	Tooling dependencies and supported platforms are explicit
env-pixi-manifest	ro-root	environment-definition	P.3	MUST	adopt	met	git:containing-commit:envs/pixi.toml	Environment definition or resolved lock is version-controlled
env-pixi-manifest	ro-root	environment-definition	E.1	SHOULD	decline	not-applicable	envs/pixi.toml	This component does not produce a computational result
env-pixi-manifest	ro-root	environment-definition	D.2	SHOULD	adopt	partial	envs/pixi.lock;envs/README.md	Exact cross-platform solve exists; macOS git-annex is an exact declared host dependency
env-pixi-lock	ro-root	environment-lock	S.1	MUST	adopt	met	envs/pixi.lock	Tracked path is directly reachable from the research-object root
env-pixi-lock	ro-root	environment-lock	S.2	MUST	adopt	unmet	config/components.tsv#license_status	No governing project licence declaration is retrievable
env-pixi-lock	ro-root	environment-lock	T.1	MUST	adopt	met	git:55a061ebcaf614555fa73e9eea1e45e808199c18:envs/pixi.lock	The containing Git commit or recorded earlier commit and path provide content identity
env-pixi-lock	ro-root	environment-lock	T.2	SHOULD	adopt	met	.gitattributes;envs/pixi.lock	Stored directly in the root Git/DataLad dataset
env-pixi-lock	ro-root	environment-lock	T.3	MUST	adopt	met	git:55a061ebcaf614555fa73e9eea1e45e808199c18:envs/pixi.lock	The containing Git commit or recorded earlier commit records this modification
env-pixi-lock	ro-root	environment-lock	M.1	SHOULD	adopt	partial	envs/pixi.lock	A stable tracked boundary exists but is stored directly in the root dataset
env-pixi-lock	ro-root	environment-lock	M.3	SHOULD	adopt	unmet	config/components.tsv#license_status	Independent licence declaration and compatibility decision are missing
env-pixi-lock	ro-root	environment-lock	D.1	MUST	adopt	met	https://github.com/con/STAMPED-dl_morphometrics_biases;git:55a061ebcaf614555fa73e9eea1e45e808199c18:envs/pixi.lock	The exact containing or earlier commit is published with the public root repository
env-pixi-lock	ro-root	environment-lock	D.3	SHOULD	adopt	unmet	config/components.tsv#license_status	No resolvable project licence identifier is recorded
env-pixi-lock	ro-root	environment-lock	T.4-programmatic	SHOULD	decline	not-applicable	envs/pixi.lock	This static component does not perform code-driven modifications or emit provenance records
env-pixi-lock	ro-root	environment-lock	T.4-versions	MUST	adopt	not-applicable	envs/pixi.lock	This component is not a code-driven execution whose involved versions must be reported
env-pixi-lock	ro-root	environment-lock	A.1	MUST	adopt	not-applicable	envs/pixi.lock	This component is not a procedure for reproducing a computational result
env-pixi-lock	ro-root	environment-lock	A.2	SHOULD	decline	not-applicable	envs/pixi.lock	This component is not a procedure requiring an executable specification
env-pixi-lock	ro-root	environment-lock	P.1	MUST	adopt	not-applicable	envs/pixi.lock	This static component does not execute against host state
env-pixi-lock	ro-root	environment-lock	P.2	MUST	adopt	met	envs/pixi.toml;envs/pixi.lock	Tooling dependencies and supported platforms are explicit
env-pixi-lock	ro-root	environment-lock	P.3	MUST	adopt	met	git:55a061ebcaf614555fa73e9eea1e45e808199c18:envs/pixi.lock	Environment definition or resolved lock is version-controlled
env-pixi-lock	ro-root	environment-lock	E.1	SHOULD	decline	not-applicable	envs/pixi.lock	This component does not produce a computational result
