subject_id	parent_id	subject_kind	location	identity	access_class	license_status	lifecycle_status	notes
evidence-poster	ro-root	reference-evidence	docs/reference/recon_all_recon_any_poster_ohbm2025.pdf	annex:SHA256E-s943963--9031199b6da81817e157bb3e762cedf349a844444a707cbb6ff97a4acba901f6.pdf;doi:10.17605/OSF.IO/P3KNS	public	LicenseRef-OHBM2025-Poster-Evidence;broader-terms-unresolved	registered	Exact OSF version 1 bytes are annexed and retrievable from OSF and GIN; project grants no broader poster rights
storage-gin	ro-root	annex-sibling	https://gin.g-node.org/leej3/STAMPED-dl_morphometrics_biases	annex-uuid:99822df6-f62f-4161-925a-e444e68c8625;datalad:baa2ec91-e618-4bac-b382-ac0daf9f779a	public	service-terms	registered	Public DataLad/git-annex sibling with HTTPS reads, SSH writes, and poster content
input-ds007116	ro-root	planned-input	studies/ds007116/sourcedata/raw/	UNRESOLVED:snapshot	planned-public	external-terms-pending	not-installed	Open engineering/scientific pilot; eligibility and acquisition availability unverified
input-abcd	ro-root	planned-input	studies/abcd/sourcedata/raw/	UNRESOLVED:release-query-and-files	controlled	DUC-pending	not-installed	Claim-bearing input; retrievable only by authorized users when identified
input-milestones	ro-root	planned-input	studies/*/sourcedata/regional-milestones/	UNRESOLVED:resource-version	planned-public	external-terms-pending	not-installed	Exact Bethlehem milestone table and mapping not pinned
input-templateflow	ro-root	planned-input	studies/*/sourcedata/templateflow/	UNRESOLVED:artifact-identities	planned-public	external-terms-pending	not-installed	Must be staged by content rather than host cache
runtime-fs741	ro-root	runtime-candidate	config/runtime-candidates.tsv#reconall-fs741-repronim-bids	source:ReproNim/containers@0284fc8ad8b7fa9a76c3c9f03cfb2919708ba2b2;SIF:PENDING	planned-public	pending-review	discovered	Exact annex key, SHA256, architecture, terms, and qualification pending
runtime-fs820-neurodesk	ro-root	runtime-candidate	config/runtime-candidates.tsv#reconall-fs820-repronim-neurodesk	source:ReproNim/containers@0284fc8ad8b7fa9a76c3c9f03cfb2919708ba2b2;SIF:PENDING	planned-public	pending-review	discovered	Tool image lacks required confirmed BIDS App interface
runtime-fs820-project	ro-root	runtime-candidate	config/runtime-candidates.tsv#reconall-fs820-project-bidsapp	none	planned-public	pending-review	planned	Wrapper and image do not yet exist
runtime-rany	ro-root	runtime-candidate	config/runtime-candidates.tsv#recon-any-unresolved	unknown	unknown	unknown	unresolved	Release, build, weights, interface, architecture, and terms unresolved
runtime-racl	ro-root	runtime-candidate	config/runtime-candidates.tsv#recon-all-clinical-unresolved	unknown	unknown	unknown	unresolved	Release, build, weights, interface, architecture, and terms unresolved
runtime-resample	ro-root	runtime-candidate	config/runtime-candidates.tsv#t1w-resample-1x1x5-unresolved	unknown	planned-public	pending-review	unresolved	Algorithm and exact execution specification unresolved
runtime-analysis	ro-root	runtime-candidate	config/runtime-candidates.tsv#morphometrics-analysis-custom	none	planned-public	pending-review	planned	Authored operation boundaries and SIF not built
results-global	ro-root	planned-result-family	result-manifest.tsv#global-*	PENDING:child-result-identities	mixed-by-child	UNDECLARED	planned	Agreement, R2, residual panels, and values table for pilot and claim studies
results-regional	ro-root	planned-result-family	result-manifest.tsv#regional-*	PENDING:child-result-identities	mixed-by-child	UNDECLARED	planned	Regional surfaces, scatter, statistics, and values table
results-version	ro-root	planned-result-family	result-manifest.tsv#version-*	PENDING:child-result-identities	mixed-by-child	UNDECLARED	planned	FreeSurfer 7.4.1 versus intended 8.2.0 comparison
results-accounting	ro-root	planned-result-family	result-manifest.tsv#accounting-*	PENDING:child-result-identities	mixed-by-child	UNDECLARED	planned	Cohort, campaign, input, runtime, completeness, and lineage tables
results-derivatives	ro-root	planned-result-family	result-manifest.tsv#derivative-*	PENDING:child-result-identities	mixed-by-child	external-and-project-terms-pending	planned	Resampling plus six reconstruction derivative variants for pilot and claim studies
pilot-ds007116--global-racl-native-cort-gmv-agreement-figure	results-global	planned-figure	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/figures/global-racl-native-cort-gmv-agreement-figure.svg	PENDING:dataset-commit-run-record-and-output-identity	planned-public	UNDECLARED	planned	pilot-only instance of global-racl-native-cort-gmv-agreement-figure
claim-abcd--global-racl-native-cort-gmv-agreement-figure	results-global	planned-figure	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/figures/global-racl-native-cort-gmv-agreement-figure.svg	PENDING:dataset-commit-run-record-and-output-identity	controlled	UNDECLARED	planned	claim-bearing instance of global-racl-native-cort-gmv-agreement-figure
pilot-ds007116--global-racl-native-cort-gmv-r2-stat	results-global	planned-statistic	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/statistics/global-racl-native-cort-gmv-r2-stat.tsv	PENDING:dataset-commit-run-record-and-output-identity	planned-public	UNDECLARED	planned	pilot-only instance of global-racl-native-cort-gmv-r2-stat
claim-abcd--global-racl-native-cort-gmv-r2-stat	results-global	planned-statistic	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/statistics/global-racl-native-cort-gmv-r2-stat.tsv	PENDING:dataset-commit-run-record-and-output-identity	controlled	UNDECLARED	planned	claim-bearing instance of global-racl-native-cort-gmv-r2-stat
pilot-ds007116--global-racl-native-cereb-wmv-agreement-figure	results-global	planned-figure	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/figures/global-racl-native-cereb-wmv-agreement-figure.svg	PENDING:dataset-commit-run-record-and-output-identity	planned-public	UNDECLARED	planned	pilot-only instance of global-racl-native-cereb-wmv-agreement-figure
claim-abcd--global-racl-native-cereb-wmv-agreement-figure	results-global	planned-figure	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/figures/global-racl-native-cereb-wmv-agreement-figure.svg	PENDING:dataset-commit-run-record-and-output-identity	controlled	UNDECLARED	planned	claim-bearing instance of global-racl-native-cereb-wmv-agreement-figure
pilot-ds007116--global-racl-native-cereb-wmv-r2-stat	results-global	planned-statistic	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/statistics/global-racl-native-cereb-wmv-r2-stat.tsv	PENDING:dataset-commit-run-record-and-output-identity	planned-public	UNDECLARED	planned	pilot-only instance of global-racl-native-cereb-wmv-r2-stat
claim-abcd--global-racl-native-cereb-wmv-r2-stat	results-global	planned-statistic	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/statistics/global-racl-native-cereb-wmv-r2-stat.tsv	PENDING:dataset-commit-run-record-and-output-identity	controlled	UNDECLARED	planned	claim-bearing instance of global-racl-native-cereb-wmv-r2-stat
pilot-ds007116--global-racl-native-age-residual-figure	results-global	planned-figure	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/figures/global-racl-native-age-residual-figure.svg	PENDING:dataset-commit-run-record-and-output-identity	planned-public	UNDECLARED	planned	pilot-only instance of global-racl-native-age-residual-figure
claim-abcd--global-racl-native-age-residual-figure	results-global	planned-figure	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/figures/global-racl-native-age-residual-figure.svg	PENDING:dataset-commit-run-record-and-output-identity	controlled	UNDECLARED	planned	claim-bearing instance of global-racl-native-age-residual-figure
pilot-ds007116--global-racl-1x1x5-cort-gmv-agreement-figure	results-global	planned-figure	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/figures/global-racl-1x1x5-cort-gmv-agreement-figure.svg	PENDING:dataset-commit-run-record-and-output-identity	planned-public	UNDECLARED	planned	pilot-only instance of global-racl-1x1x5-cort-gmv-agreement-figure
claim-abcd--global-racl-1x1x5-cort-gmv-agreement-figure	results-global	planned-figure	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/figures/global-racl-1x1x5-cort-gmv-agreement-figure.svg	PENDING:dataset-commit-run-record-and-output-identity	controlled	UNDECLARED	planned	claim-bearing instance of global-racl-1x1x5-cort-gmv-agreement-figure
pilot-ds007116--global-racl-1x1x5-cort-gmv-r2-stat	results-global	planned-statistic	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/statistics/global-racl-1x1x5-cort-gmv-r2-stat.tsv	PENDING:dataset-commit-run-record-and-output-identity	planned-public	UNDECLARED	planned	pilot-only instance of global-racl-1x1x5-cort-gmv-r2-stat
claim-abcd--global-racl-1x1x5-cort-gmv-r2-stat	results-global	planned-statistic	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/statistics/global-racl-1x1x5-cort-gmv-r2-stat.tsv	PENDING:dataset-commit-run-record-and-output-identity	controlled	UNDECLARED	planned	claim-bearing instance of global-racl-1x1x5-cort-gmv-r2-stat
pilot-ds007116--global-racl-1x1x5-cereb-wmv-agreement-figure	results-global	planned-figure	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/figures/global-racl-1x1x5-cereb-wmv-agreement-figure.svg	PENDING:dataset-commit-run-record-and-output-identity	planned-public	UNDECLARED	planned	pilot-only instance of global-racl-1x1x5-cereb-wmv-agreement-figure
claim-abcd--global-racl-1x1x5-cereb-wmv-agreement-figure	results-global	planned-figure	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/figures/global-racl-1x1x5-cereb-wmv-agreement-figure.svg	PENDING:dataset-commit-run-record-and-output-identity	controlled	UNDECLARED	planned	claim-bearing instance of global-racl-1x1x5-cereb-wmv-agreement-figure
pilot-ds007116--global-racl-1x1x5-cereb-wmv-r2-stat	results-global	planned-statistic	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/statistics/global-racl-1x1x5-cereb-wmv-r2-stat.tsv	PENDING:dataset-commit-run-record-and-output-identity	planned-public	UNDECLARED	planned	pilot-only instance of global-racl-1x1x5-cereb-wmv-r2-stat
claim-abcd--global-racl-1x1x5-cereb-wmv-r2-stat	results-global	planned-statistic	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/statistics/global-racl-1x1x5-cereb-wmv-r2-stat.tsv	PENDING:dataset-commit-run-record-and-output-identity	controlled	UNDECLARED	planned	claim-bearing instance of global-racl-1x1x5-cereb-wmv-r2-stat
pilot-ds007116--global-racl-1x1x5-age-residual-figure	results-global	planned-figure	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/figures/global-racl-1x1x5-age-residual-figure.svg	PENDING:dataset-commit-run-record-and-output-identity	planned-public	UNDECLARED	planned	pilot-only instance of global-racl-1x1x5-age-residual-figure
claim-abcd--global-racl-1x1x5-age-residual-figure	results-global	planned-figure	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/figures/global-racl-1x1x5-age-residual-figure.svg	PENDING:dataset-commit-run-record-and-output-identity	controlled	UNDECLARED	planned	claim-bearing instance of global-racl-1x1x5-age-residual-figure
pilot-ds007116--global-rany-native-cort-gmv-agreement-figure	results-global	planned-figure	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/figures/global-rany-native-cort-gmv-agreement-figure.svg	PENDING:dataset-commit-run-record-and-output-identity	planned-public	UNDECLARED	planned	pilot-only instance of global-rany-native-cort-gmv-agreement-figure
claim-abcd--global-rany-native-cort-gmv-agreement-figure	results-global	planned-figure	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/figures/global-rany-native-cort-gmv-agreement-figure.svg	PENDING:dataset-commit-run-record-and-output-identity	controlled	UNDECLARED	planned	claim-bearing instance of global-rany-native-cort-gmv-agreement-figure
pilot-ds007116--global-rany-native-cort-gmv-r2-stat	results-global	planned-statistic	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/statistics/global-rany-native-cort-gmv-r2-stat.tsv	PENDING:dataset-commit-run-record-and-output-identity	planned-public	UNDECLARED	planned	pilot-only instance of global-rany-native-cort-gmv-r2-stat
claim-abcd--global-rany-native-cort-gmv-r2-stat	results-global	planned-statistic	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/statistics/global-rany-native-cort-gmv-r2-stat.tsv	PENDING:dataset-commit-run-record-and-output-identity	controlled	UNDECLARED	planned	claim-bearing instance of global-rany-native-cort-gmv-r2-stat
pilot-ds007116--global-rany-native-cereb-wmv-agreement-figure	results-global	planned-figure	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/figures/global-rany-native-cereb-wmv-agreement-figure.svg	PENDING:dataset-commit-run-record-and-output-identity	planned-public	UNDECLARED	planned	pilot-only instance of global-rany-native-cereb-wmv-agreement-figure
claim-abcd--global-rany-native-cereb-wmv-agreement-figure	results-global	planned-figure	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/figures/global-rany-native-cereb-wmv-agreement-figure.svg	PENDING:dataset-commit-run-record-and-output-identity	controlled	UNDECLARED	planned	claim-bearing instance of global-rany-native-cereb-wmv-agreement-figure
pilot-ds007116--global-rany-native-cereb-wmv-r2-stat	results-global	planned-statistic	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/statistics/global-rany-native-cereb-wmv-r2-stat.tsv	PENDING:dataset-commit-run-record-and-output-identity	planned-public	UNDECLARED	planned	pilot-only instance of global-rany-native-cereb-wmv-r2-stat
claim-abcd--global-rany-native-cereb-wmv-r2-stat	results-global	planned-statistic	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/statistics/global-rany-native-cereb-wmv-r2-stat.tsv	PENDING:dataset-commit-run-record-and-output-identity	controlled	UNDECLARED	planned	claim-bearing instance of global-rany-native-cereb-wmv-r2-stat
pilot-ds007116--global-rany-native-age-residual-figure	results-global	planned-figure	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/figures/global-rany-native-age-residual-figure.svg	PENDING:dataset-commit-run-record-and-output-identity	planned-public	UNDECLARED	planned	pilot-only instance of global-rany-native-age-residual-figure
claim-abcd--global-rany-native-age-residual-figure	results-global	planned-figure	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/figures/global-rany-native-age-residual-figure.svg	PENDING:dataset-commit-run-record-and-output-identity	controlled	UNDECLARED	planned	claim-bearing instance of global-rany-native-age-residual-figure
pilot-ds007116--global-rany-1x1x5-cort-gmv-agreement-figure	results-global	planned-figure	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/figures/global-rany-1x1x5-cort-gmv-agreement-figure.svg	PENDING:dataset-commit-run-record-and-output-identity	planned-public	UNDECLARED	planned	pilot-only instance of global-rany-1x1x5-cort-gmv-agreement-figure
claim-abcd--global-rany-1x1x5-cort-gmv-agreement-figure	results-global	planned-figure	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/figures/global-rany-1x1x5-cort-gmv-agreement-figure.svg	PENDING:dataset-commit-run-record-and-output-identity	controlled	UNDECLARED	planned	claim-bearing instance of global-rany-1x1x5-cort-gmv-agreement-figure
pilot-ds007116--global-rany-1x1x5-cort-gmv-r2-stat	results-global	planned-statistic	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/statistics/global-rany-1x1x5-cort-gmv-r2-stat.tsv	PENDING:dataset-commit-run-record-and-output-identity	planned-public	UNDECLARED	planned	pilot-only instance of global-rany-1x1x5-cort-gmv-r2-stat
claim-abcd--global-rany-1x1x5-cort-gmv-r2-stat	results-global	planned-statistic	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/statistics/global-rany-1x1x5-cort-gmv-r2-stat.tsv	PENDING:dataset-commit-run-record-and-output-identity	controlled	UNDECLARED	planned	claim-bearing instance of global-rany-1x1x5-cort-gmv-r2-stat
pilot-ds007116--global-rany-1x1x5-cereb-wmv-agreement-figure	results-global	planned-figure	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/figures/global-rany-1x1x5-cereb-wmv-agreement-figure.svg	PENDING:dataset-commit-run-record-and-output-identity	planned-public	UNDECLARED	planned	pilot-only instance of global-rany-1x1x5-cereb-wmv-agreement-figure
claim-abcd--global-rany-1x1x5-cereb-wmv-agreement-figure	results-global	planned-figure	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/figures/global-rany-1x1x5-cereb-wmv-agreement-figure.svg	PENDING:dataset-commit-run-record-and-output-identity	controlled	UNDECLARED	planned	claim-bearing instance of global-rany-1x1x5-cereb-wmv-agreement-figure
pilot-ds007116--global-rany-1x1x5-cereb-wmv-r2-stat	results-global	planned-statistic	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/statistics/global-rany-1x1x5-cereb-wmv-r2-stat.tsv	PENDING:dataset-commit-run-record-and-output-identity	planned-public	UNDECLARED	planned	pilot-only instance of global-rany-1x1x5-cereb-wmv-r2-stat
claim-abcd--global-rany-1x1x5-cereb-wmv-r2-stat	results-global	planned-statistic	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/statistics/global-rany-1x1x5-cereb-wmv-r2-stat.tsv	PENDING:dataset-commit-run-record-and-output-identity	controlled	UNDECLARED	planned	claim-bearing instance of global-rany-1x1x5-cereb-wmv-r2-stat
pilot-ds007116--global-rany-1x1x5-age-residual-figure	results-global	planned-figure	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/figures/global-rany-1x1x5-age-residual-figure.svg	PENDING:dataset-commit-run-record-and-output-identity	planned-public	UNDECLARED	planned	pilot-only instance of global-rany-1x1x5-age-residual-figure
claim-abcd--global-rany-1x1x5-age-residual-figure	results-global	planned-figure	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/figures/global-rany-1x1x5-age-residual-figure.svg	PENDING:dataset-commit-run-record-and-output-identity	controlled	UNDECLARED	planned	claim-bearing instance of global-rany-1x1x5-age-residual-figure
pilot-ds007116--global-panel-values-table	results-global	planned-table	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/tables/global-panel-values-table.tsv	PENDING:dataset-commit-run-record-and-output-identity	planned-public	UNDECLARED	planned	pilot-only instance of global-panel-values-table
claim-abcd--global-panel-values-table	results-global	planned-table	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/tables/global-panel-values-table.tsv	PENDING:dataset-commit-run-record-and-output-identity	controlled	UNDECLARED	planned	claim-bearing instance of global-panel-values-table
pilot-ds007116--regional-peak-gmv-age-surface-figure	results-regional	planned-figure	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/figures/regional-peak-gmv-age-surface-figure.svg	PENDING:dataset-commit-run-record-and-output-identity	planned-public	UNDECLARED	planned	pilot-only instance of regional-peak-gmv-age-surface-figure
claim-abcd--regional-peak-gmv-age-surface-figure	results-regional	planned-figure	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/figures/regional-peak-gmv-age-surface-figure.svg	PENDING:dataset-commit-run-record-and-output-identity	controlled	UNDECLARED	planned	claim-bearing instance of regional-peak-gmv-age-surface-figure
pilot-ds007116--regional-age-bias-coefficient-surface-figure	results-regional	planned-figure	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/figures/regional-age-bias-coefficient-surface-figure.svg	PENDING:dataset-commit-run-record-and-output-identity	planned-public	UNDECLARED	planned	pilot-only instance of regional-age-bias-coefficient-surface-figure
claim-abcd--regional-age-bias-coefficient-surface-figure	results-regional	planned-figure	PLANNED:studies/abcd/derivatives/morphometrics-analysis-attempt-001/figures/regional-age-bias-coefficient-surface-figure.svg	PENDING:dataset-commit-run-record-and-output-identity	controlled	UNDECLARED	planned	claim-bearing instance of regional-age-bias-coefficient-surface-figure
pilot-ds007116--regional-peak-age-vs-age-bias-scatter-figure	results-regional	planned-figure	PLANNED:studies/ds007116/derivatives/morphometrics-analysis-attempt-001/figures/regional-peak-age-vs-age-bias-scatter-figure.svg	PENDING:dataset-commit-run-record-and-output-identity	planned-public	UNDECLARED	planned	pilot-only instance of regional-peak-age-vs-age-bias-scatter-figure
